product_id,category,discounted_price,actual_price,discount_percentage,rating,rating_count,Category
B07JW9H4J1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,64.0,4.2,24269.0,Computers&Accessories
B098NS6PVG,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,349.0,43.0,4.0,43994.0,Computers&Accessories
B096MSW6CT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,1899.0,90.0,3.9,7928.0,Computers&Accessories
B08HDJ86NZ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329.0,699.0,53.0,4.2,94363.0,Computers&Accessories
B08CF3B7N1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.0,399.0,61.0,4.2,16905.0,Computers&Accessories
B08Y1TFSP6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.0,1000.0,85.0,3.9,24871.0,Computers&Accessories
B08WRWPM22,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,176.63,499.0,65.0,4.1,15188.0,Computers&Accessories
B08DDRGWTJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,229.0,299.0,23.0,4.3,30411.0,Computers&Accessories
B008IFXQFU,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499.0,999.0,50.0,4.2,179691.0,Computers&Accessories
B082LZGK39,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,299.0,33.0,4.0,43994.0,Computers&Accessories
B08CF3D7QR,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.0,339.0,55.0,4.3,13391.0,Computers&Accessories
B0789LZTCJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,799.0,63.0,4.2,94363.0,Computers&Accessories
B07KSMBL2H,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",219.0,700.0,69.0,4.4,426973.0,Electronics
B085DTN6R2,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,350.0,899.0,61.0,4.2,2262.0,Computers&Accessories
B09KLVMZ3B,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,159.0,399.0,60.0,4.1,4768.0,Computers&Accessories
B083342NKJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.0,399.0,13.0,4.4,18757.0,Computers&Accessories
B0B6F7LX4C,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13999.0,24999.0,44.0,4.2,32840.0,Electronics
B082LSVT4B,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,249.0,399.0,38.0,4.0,43994.0,Computers&Accessories
B08WRBG3XW,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,499.0,60.0,4.1,13045.0,Computers&Accessories
B08DPLCM6T,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13490.0,21990.0,39.0,4.3,11976.0,Electronics
B09C6HXFC1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970.0,1799.0,46.0,4.5,815.0,Computers&Accessories
B085194JFL,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",279.0,499.0,44.0,3.7,10962.0,Electronics
B09F6S8BT6,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13490.0,22900.0,41.0,4.3,16299.0,Electronics
B09NHVCHS9,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59.0,199.0,70.0,4.0,9378.0,Computers&Accessories
B0B1YVCJ2Y,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",11499.0,19990.0,42.0,4.3,4703.0,Electronics
B01M4GGIVU,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",199.0,699.0,72.0,4.2,12153.0,Electronics
B08B42LWKN,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",14999.0,19999.0,25.0,4.2,34899.0,Electronics
B094JNXNPV,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,399.0,25.0,4.0,2766.0,Computers&Accessories
B09W5XR9RT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970.0,1999.0,51.0,4.4,184.0,Computers&Accessories
B077Z65HSD,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,999.0,70.0,4.3,20850.0,Computers&Accessories
B00NH11PEY,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,750.0,73.0,4.5,74976.0,Computers&Accessories
B09CMM3VGK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179.0,499.0,64.0,4.0,1934.0,Computers&Accessories
B08QSC1XY8,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,389.0,1099.0,65.0,4.3,974.0,Computers&Accessories
B008FWZGSG,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599.0,599.0,0.0,4.3,355.0,Computers&Accessories
B0B4HJNPV4,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,999.0,80.0,3.9,1075.0,Computers&Accessories
B08Y1SJVV5,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,99.0,666.66,85.0,3.9,24871.0,Computers&Accessories
B07XLCFSSN,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,899.0,1900.0,53.0,4.4,13552.0,Computers&Accessories
B09RZS1NQT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,999.0,80.0,4.0,576.0,Computers&Accessories
B0B3MMYHYW,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",32999.0,45999.0,28.0,4.2,7298.0,Electronics
B09C6HWG18,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970.0,1999.0,51.0,4.2,462.0,Computers&Accessories
B00NH11KIK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,209.0,695.0,70.0,4.5,107687.0,Computers&Accessories
B09JPC82QC,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",19999.0,34999.0,43.0,4.3,27151.0,Electronics
B07JW1Y6XV,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,64.0,4.2,24269.0,Computers&Accessories
B07KRCW6LZ,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,999.0,1599.0,38.0,4.3,12093.0,Computers&Accessories
B09NJN8L25,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59.0,199.0,70.0,4.0,9378.0,Computers&Accessories
B07XJYYH7L,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,333.0,999.0,67.0,3.3,9792.0,Computers&Accessories
B002PD61Y4,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507.0,1208.0,58.0,4.1,8131.0,Computers&Accessories
B014I8SSD0,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",309.0,475.0,35.0,4.4,426973.0,Electronics
B09L8DSSFH,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.0,999.0,60.0,3.6,493.0,Electronics
B07232M876,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,395.0,50.0,4.2,92595.0,Computers&Accessories
B07P681N66,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1199.0,2199.0,45.0,4.4,24780.0,Computers&Accessories
B0711PVX6Z,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179.0,500.0,64.0,4.2,92595.0,Computers&Accessories
B082T6V3DT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,799.0,2100.0,62.0,4.3,8188.0,Computers&Accessories
B07MKFNHKG,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",6999.0,12999.0,46.0,4.2,4003.0,Electronics
B0BFWGBX61,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,349.0,43.0,4.1,314.0,Computers&Accessories
B01N90RZ4M,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",230.0,499.0,54.0,3.7,2960.0,Electronics
